id,reviewer,rating,text
ChZDSUhNMG9nS0VJQ0FnSUNLdlllU1pnEAE,김퓨어,5,다녀 온지는 꽤 되었지만 정말 좋았던 곳인데 마음이 아파서 와 봤습니다. 특히나 사장님 정말 정말 좋으신 분이세요... 또 방문해야겠네요... 이번 기회에 커뮤니티에 좌표찍어서 애먼 사람 하나 죽이는건 더 이상 통하지 않는다는 좋은 선례가 되었으면 좋겠습니다.
,김퓨어,,
,,5,다녀 온지는 꽤 되었지만 정말 좋았던 곳인데 마음이 아파서 와 봤습니다. 특히나 사장님 정말 정말 좋으신 분이세요... 또 방문해야겠네요... 이번 기회에 커뮤니티에 좌표찍어서 애먼 사람 하나 죽이는건 더 이상 통하지 않는다는 좋은 선례가 되었으면 좋겠습니다.
ChZDSUhNMG9nS0VJQ0FnSUNLd09HTkRREAE,아딧,5,모든 손님이 공정한 대우를 받을수있도록 하는 당연하지만 올바른 방침을 가진 곳입니다. 일부 가게들에서 일하는 직원들은 모 커뮤니티에…
,아딧,,
,,5,모든 손님이 공정한 대우를 받을수있도록 하는 당연하지만 올바른 방침을 가진 곳입니다. 일부 가게들에서 일하는 직원들은 모 커뮤니티에…
ChZDSUhNMG9nS0VJQ0FnSUNLd0ltR1BBEAE,두루미.,5,페미들은 알아야한다. 본인들이 얼마나 추악한짓거릴 하는지를. 밖에서 페미라고 떠들고 다니는사람 요즘에 아예 한명도 못봤다. 일베충도 똑같지.  걍 너네는 일베랑 똑같은거야.…
,두루미.,,
,,5,페미들은 알아야한다. 본인들이 얼마나 추악한짓거릴 하는지를. 밖에서 페미라고 떠들고 다니는사람 요즘에 아예 한명도 못봤다. 일베충도 똑같지.  걍 너네는 일베랑 똑같은거야.…
ChZDSUhNMG9nS0VJQ0FnSUNLb0tHZ1N3EAE,한승재,5,여기 저희집근처라 자주가는데 분위기도 좋고 괜찮습니다 지금 특정 정신병집단에서 알바에 채용하지않았다고 해서 리뷰테러를 하는데 무시하셔도 됩니다.
,한승재,,
